Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
currentDateTime = LocalDateTime.now(),Chrome 130.0.0.0,,,01-11-2024 15:57:01,01-11-2024 15:57:01,0.002s,PASSED
"formatter = DateTimeFormatter.ofPattern(""yyyyMMddHHmmss"")",Chrome 130.0.0.0,,,01-11-2024 15:57:01,01-11-2024 15:57:01,0.003s,PASSED
dateTimeString = currentDateTime.format(formatter),Chrome 130.0.0.0,,,01-11-2024 15:57:01,01-11-2024 15:57:01,0.003s,PASSED
"screenshotFolderPath = ""screenshots/login_"" + dateTimeString + ""/""",Chrome 130.0.0.0,,,01-11-2024 15:57:01,01-11-2024 15:57:01,0.001s,PASSED
File(screenshotFolderPath).mkdirs(),Chrome 130.0.0.0,,,01-11-2024 15:57:01,01-11-2024 15:57:01,0.002s,PASSED
"callTestCase(findTestCase(""Threads_Webshop/ReUsable Testcases/Enter Password""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,01-11-2024 15:57:01,01-11-2024 15:57:08,7.587s,PASSED
"click(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Threads/svg_Search_icon icon-account""))",Chrome 130.0.0.0,,,01-11-2024 15:57:08,01-11-2024 15:57:17,8.729s,PASSED
"verifyTextPresent(login_page, false)",Chrome 130.0.0.0,,,01-11-2024 15:57:17,01-11-2024 15:57:18,0.991s,PASSED
"takeScreenshot(screenshotFolderPath + ""login_page.png"")",Chrome 130.0.0.0,,,01-11-2024 15:57:18,01-11-2024 15:57:18,0.323s,PASSED
"click(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/button_Sign in""))",Chrome 130.0.0.0,,,01-11-2024 15:57:18,01-11-2024 15:57:20,1.756s,PASSED
"takeScreenshot(screenshotFolderPath + ""login_page_after.png"")",Chrome 130.0.0.0,,,01-11-2024 15:57:20,01-11-2024 15:57:21,0.938s,PASSED
"verifyTextPresent(error_msg1, false)",Chrome 130.0.0.0,,,01-11-2024 15:57:21,01-11-2024 15:57:25,4.286s,PASSED
"verifyTextPresent(error_msg2, false)",Chrome 130.0.0.0,,,01-11-2024 15:57:25,01-11-2024 15:57:25,0.257s,PASSED
"setText(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/input_Login_customeremail""), invalidemail)",Chrome 130.0.0.0,,,01-11-2024 15:57:25,01-11-2024 15:57:26,0.569s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/input_Email_customerpassword""), validpassword)",Chrome 130.0.0.0,,,01-11-2024 15:57:26,01-11-2024 15:57:26,0.336s,PASSED
"takeScreenshot(screenshotFolderPath + ""invalid_email_before.png"")",Chrome 130.0.0.0,,,01-11-2024 15:57:26,01-11-2024 15:57:27,0.348s,PASSED
"click(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/button_Sign in""))",Chrome 130.0.0.0,,,01-11-2024 15:57:27,01-11-2024 15:57:28,1.702s,PASSED
"verifyTextPresent(error_msg1, false)",Chrome 130.0.0.0,,,01-11-2024 15:57:28,01-11-2024 15:57:29,0.861s,PASSED
"verifyTextPresent(error_msg2, false)",Chrome 130.0.0.0,,,01-11-2024 15:57:29,01-11-2024 15:57:29,0.251s,PASSED
"takeScreenshot(screenshotFolderPath + ""invalid_email_after.png"")",Chrome 130.0.0.0,,,01-11-2024 15:57:29,01-11-2024 15:57:30,0.300s,PASSED
"setText(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/input_Login_customeremail""), validemail)",Chrome 130.0.0.0,,,01-11-2024 15:57:30,01-11-2024 15:57:30,0.584s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/input_Email_customerpassword""), invalidpass)",Chrome 130.0.0.0,,,01-11-2024 15:57:30,01-11-2024 15:57:31,0.503s,PASSED
"takeScreenshot(screenshotFolderPath + ""invalid_password_before.png"")",Chrome 130.0.0.0,,,01-11-2024 15:57:31,01-11-2024 15:57:31,0.320s,PASSED
"click(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/button_Sign in""))",Chrome 130.0.0.0,,,01-11-2024 15:57:31,01-11-2024 15:57:33,2.119s,PASSED
"verifyTextPresent(error_msg1, false)",Chrome 130.0.0.0,,,01-11-2024 15:57:33,01-11-2024 15:57:34,0.871s,PASSED
"verifyTextPresent(error_msg2, false)",Chrome 130.0.0.0,,,01-11-2024 15:57:34,01-11-2024 15:57:34,0.255s,PASSED
"takeScreenshot(screenshotFolderPath + ""invalid_password_after.png"")",Chrome 130.0.0.0,,,01-11-2024 15:57:34,01-11-2024 15:57:35,0.330s,PASSED
"setText(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/input_Login_customeremail""), validemail)",Chrome 130.0.0.0,,,01-11-2024 15:57:35,01-11-2024 15:57:36,1.002s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/input_Email_customerpassword""), validpassword)",Chrome 130.0.0.0,,,01-11-2024 15:57:36,01-11-2024 15:57:36,0.313s,PASSED
"takeScreenshot(screenshotFolderPath + ""valid_before.png"")",Chrome 130.0.0.0,,,01-11-2024 15:57:36,01-11-2024 15:57:36,0.307s,PASSED
"click(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/button_Sign in""))",Chrome 130.0.0.0,,,01-11-2024 15:57:36,01-11-2024 15:57:38,2.061s,PASSED
"takeScreenshot(screenshotFolderPath + ""valid_after.png"")",Chrome 130.0.0.0,,,01-11-2024 15:57:38,01-11-2024 15:57:39,0.926s,PASSED
"verifyTextPresent(account_page, false)",Chrome 130.0.0.0,,,01-11-2024 15:57:39,01-11-2024 15:57:40,0.263s,PASSED
"verifyTextPresent(name, false)",Chrome 130.0.0.0,,,01-11-2024 15:57:40,01-11-2024 15:57:40,0.262s,PASSED
"takeScreenshot(screenshotFolderPath + ""account_page.png"")",Chrome 130.0.0.0,,,01-11-2024 15:57:40,01-11-2024 15:57:40,0.318s,PASSED
"click(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/span_Home""))",Chrome 130.0.0.0,,,01-11-2024 15:57:40,01-11-2024 15:57:41,1.126s,PASSED
"click(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Threads/svg_Search_icon icon-account""))",Chrome 130.0.0.0,,,01-11-2024 15:57:41,01-11-2024 15:57:43,1.733s,PASSED
"takeScreenshot(screenshotFolderPath + ""logout_page.png"")",Chrome 130.0.0.0,,,01-11-2024 15:57:43,01-11-2024 15:57:44,0.923s,PASSED
"click(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/a_Log out""))",Chrome 130.0.0.0,,,01-11-2024 15:57:44,01-11-2024 15:57:45,1.476s,PASSED
"click(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Threads/span_Search_svg-wrapper""))",Chrome 130.0.0.0,,,01-11-2024 15:57:45,01-11-2024 15:57:47,1.342s,PASSED
"takeScreenshot(screenshotFolderPath + ""login_page_after_logout.png"")",Chrome 130.0.0.0,,,01-11-2024 15:57:47,01-11-2024 15:57:48,0.918s,PASSED
"verifyTextPresent(login_page, false)",Chrome 130.0.0.0,,,01-11-2024 15:57:48,01-11-2024 15:57:48,0.259s,PASSED
closeBrowser(),Chrome 130.0.0.0,,,01-11-2024 15:57:48,01-11-2024 15:57:49,0.631s,PASSED
,,,,,,,
"Test Cases/Threads_Webshop/3 Homepage/TC-3,66-Verify Seach Bar",Chrome 130.0.0.0,,,01-11-2024 15:57:49,01-11-2024 15:58:32,43.118s,PASSED
currentDateTime = LocalDateTime.now(),Chrome 130.0.0.0,,,01-11-2024 15:57:49,01-11-2024 15:57:49,0.002s,PASSED
"formatter = DateTimeFormatter.ofPattern(""yyyyMMdd_HHmmss"")",Chrome 130.0.0.0,,,01-11-2024 15:57:49,01-11-2024 15:57:49,0.002s,PASSED
dateTimeString = currentDateTime.format(formatter),Chrome 130.0.0.0,,,01-11-2024 15:57:49,01-11-2024 15:57:49,0.002s,PASSED
"screenshotFolderPath = ""screenshots/home_page_"" + dateTimeString + ""/""",Chrome 130.0.0.0,,,01-11-2024 15:57:49,01-11-2024 15:57:49,0.003s,PASSED
File(screenshotFolderPath).mkdirs(),Chrome 130.0.0.0,,,01-11-2024 15:57:49,01-11-2024 15:57:49,0.002s,PASSED
"callTestCase(findTestCase(""Threads_Webshop/ReUsable Testcases/Enter Password""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,01-11-2024 15:57:49,01-11-2024 15:58:10,21.542s,PASSED
"verifyTextPresent(home_page, false)",Chrome 130.0.0.0,,,01-11-2024 15:58:10,01-11-2024 15:58:11,0.894s,PASSED
"takeScreenshot(screenshotFolderPath + ""home.png"")",Chrome 130.0.0.0,,,01-11-2024 15:58:11,01-11-2024 15:58:12,0.689s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Threads/svg_Contact_icon icon-search""))",Chrome 130.0.0.0,,,01-11-2024 15:58:12,01-11-2024 15:58:12,0.248s,PASSED
"click(findTestObject(""Object Repository/Page_Threads/svg_Contact_icon icon-search""))",Chrome 130.0.0.0,,,01-11-2024 15:58:12,01-11-2024 15:58:13,0.585s,PASSED
"takeScreenshot(screenshotFolderPath + ""open_search_bar.png"")",Chrome 130.0.0.0,,,01-11-2024 15:58:13,01-11-2024 15:58:14,0.739s,PASSED
"verifyTextPresent("""", false)",Chrome 130.0.0.0,,,01-11-2024 15:58:14,01-11-2024 15:58:14,0.331s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Threads/svg_Search_icon icon-search""))",Chrome 130.0.0.0,,,01-11-2024 15:58:14,01-11-2024 15:58:14,0.255s,PASSED
"click(findTestObject(""Object Repository/Page_Threads/svg_Search_icon icon-search""))",Chrome 130.0.0.0,,,01-11-2024 15:58:14,01-11-2024 15:58:14,0.265s,PASSED
"takeScreenshot(screenshotFolderPath + ""blank_bar.png"")",Chrome 130.0.0.0,,,01-11-2024 15:58:14,01-11-2024 15:58:15,0.695s,PASSED
"setText(findTestObject(""Object Repository/Page_Threads/input_Contact_q""), invalid_search)",Chrome 130.0.0.0,,,01-11-2024 15:58:15,01-11-2024 15:58:16,0.577s,PASSED
"takeScreenshot(screenshotFolderPath + ""invalid_before.png"")",Chrome 130.0.0.0,,,01-11-2024 15:58:16,01-11-2024 15:58:16,0.741s,PASSED
"click(findTestObject(""Object Repository/Page_Threads/svg_Search_icon icon-search""))",Chrome 130.0.0.0,,,01-11-2024 15:58:16,01-11-2024 15:58:18,1.661s,PASSED
"verifyTextPresent(search_result, false)",Chrome 130.0.0.0,,,01-11-2024 15:58:18,01-11-2024 15:58:19,0.878s,PASSED
"verifyTextPresent(no_result, false)",Chrome 130.0.0.0,,,01-11-2024 15:58:19,01-11-2024 15:58:19,0.256s,PASSED
"takeScreenshot(screenshotFolderPath + ""invalid_after.png"")",Chrome 130.0.0.0,,,01-11-2024 15:58:19,01-11-2024 15:58:20,0.316s,PASSED
"click(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 0 results found for Verify inva_0640af/svg_Contact_icon icon-search""))",Chrome 130.0.0.0,,,01-11-2024 15:58:20,01-11-2024 15:58:20,0.280s,PASSED
"setText(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 0 results found for Verify inva_0640af/input_Contact_q""), search_item)",Chrome 130.0.0.0,,,01-11-2024 15:58:20,01-11-2024 15:58:21,0.969s,PASSED
"takeScreenshot(screenshotFolderPath + ""search_item_before.png"")",Chrome 130.0.0.0,,,01-11-2024 15:58:21,01-11-2024 15:58:21,0.314s,PASSED
delay(3),Chrome 130.0.0.0,,,01-11-2024 15:58:21,01-11-2024 15:58:24,3.026s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 0 results found for Verify inva_0640af/p_DR MARTENS  CAVENDISH 3-EYE SHOE BLACK""), 0)",Chrome 130.0.0.0,,,01-11-2024 15:58:24,01-11-2024 15:58:24,0.273s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 0 results found for Verify inva_0640af/p_DR MARTENS  1461 DMC 3-EYE SHOE  BLACK SMOOTH""), 0)",Chrome 130.0.0.0,,,01-11-2024 15:58:24,01-11-2024 15:58:25,0.243s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 0 results found for Verify inva_0640af/p_DR MARTENS  1460Z DMC 8-EYE BOOT  CHERRY SMOOTH""), 0)",Chrome 130.0.0.0,,,01-11-2024 15:58:25,01-11-2024 15:58:25,0.241s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 0 results found for Verify inva_0640af/p_TIMBERLAND  MENS 6 INCH PREMIUM BOOT""), 0)",Chrome 130.0.0.0,,,01-11-2024 15:58:25,01-11-2024 15:58:25,0.252s,PASSED
"click(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 0 results found for Verify inva_0640af/svg_Search_icon icon-search""))",Chrome 130.0.0.0,,,01-11-2024 15:58:25,01-11-2024 15:58:26,1.081s,PASSED
"takeScreenshot(screenshotFolderPath + ""search_item_after.png"")",Chrome 130.0.0.0,,,01-11-2024 15:58:26,01-11-2024 15:58:27,0.877s,PASSED
"verifyTextPresent(search_result, false)",Chrome 130.0.0.0,,,01-11-2024 15:58:27,01-11-2024 15:58:27,0.325s,PASSED
"scrollToPosition(500, 0)",Chrome 130.0.0.0,,,01-11-2024 15:58:27,01-11-2024 15:58:27,0.029s,PASSED
