Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"takeScreenshot(screenshotFolderPath + ""account_page.png"")",Chrome 130.0.0.0,,,04-11-2024 22:40:20,04-11-2024 22:40:21,0.612s,PASSED
"click(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/span_Home""))",Chrome 130.0.0.0,,,04-11-2024 22:40:21,04-11-2024 22:40:22,1.145s,PASSED
"click(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Threads/svg_Search_icon icon-account""))",Chrome 130.0.0.0,,,04-11-2024 22:40:22,04-11-2024 22:40:23,1.688s,PASSED
"takeScreenshot(screenshotFolderPath + ""logout_page.png"")",Chrome 130.0.0.0,,,04-11-2024 22:40:23,04-11-2024 22:40:24,1.018s,PASSED
"click(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/a_Log out""))",Chrome 130.0.0.0,,,04-11-2024 22:40:24,04-11-2024 22:40:26,1.698s,PASSED
"click(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Threads/span_Search_svg-wrapper""))",Chrome 130.0.0.0,,,04-11-2024 22:40:26,04-11-2024 22:40:28,1.612s,PASSED
"takeScreenshot(screenshotFolderPath + ""login_page_after_logout.png"")",Chrome 130.0.0.0,,,04-11-2024 22:40:28,04-11-2024 22:40:29,1.039s,PASSED
"verifyTextPresent(login_page, false)",Chrome 130.0.0.0,,,04-11-2024 22:40:29,04-11-2024 22:40:29,0.317s,PASSED
closeBrowser(),Chrome 130.0.0.0,,,04-11-2024 22:40:29,04-11-2024 22:40:30,0.765s,PASSED
,,,,,,,
"Test Cases/Threads_Webshop/3 Homepage/TC-3,66-Verify Seach Bar",Chrome 130.0.0.0,,,04-11-2024 22:40:30,04-11-2024 22:41:05,34.963s,PASSED
currentDateTime = LocalDateTime.now(),Chrome 130.0.0.0,,,04-11-2024 22:40:30,04-11-2024 22:40:30,0.000s,PASSED
"formatter = DateTimeFormatter.ofPattern(""yyyyMMdd_HHmmss"")",Chrome 130.0.0.0,,,04-11-2024 22:40:30,04-11-2024 22:40:30,0.000s,PASSED
dateTimeString = currentDateTime.format(formatter),Chrome 130.0.0.0,,,04-11-2024 22:40:30,04-11-2024 22:40:30,0.000s,PASSED
"screenshotFolderPath = ""screenshots/home_page_"" + dateTimeString + ""/""",Chrome 130.0.0.0,,,04-11-2024 22:40:30,04-11-2024 22:40:30,0.000s,PASSED
File(screenshotFolderPath).mkdirs(),Chrome 130.0.0.0,,,04-11-2024 22:40:30,04-11-2024 22:40:30,0.000s,PASSED
"callTestCase(findTestCase(""Threads_Webshop/ReUsable Testcases/Enter Password""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,04-11-2024 22:40:30,04-11-2024 22:40:43,12.488s,PASSED
"verifyTextPresent(home_page, false)",Chrome 130.0.0.0,,,04-11-2024 22:40:43,04-11-2024 22:40:44,1.196s,PASSED
"takeScreenshot(screenshotFolderPath + ""home.png"")",Chrome 130.0.0.0,,,04-11-2024 22:40:44,04-11-2024 22:40:44,0.696s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Threads/svg_Contact_icon icon-search""))",Chrome 130.0.0.0,,,04-11-2024 22:40:44,04-11-2024 22:40:45,0.510s,PASSED
"click(findTestObject(""Object Repository/Page_Threads/svg_Contact_icon icon-search""))",Chrome 130.0.0.0,,,04-11-2024 22:40:45,04-11-2024 22:40:45,0.294s,PASSED
"takeScreenshot(screenshotFolderPath + ""open_search_bar.png"")",Chrome 130.0.0.0,,,04-11-2024 22:40:45,04-11-2024 22:40:46,0.662s,PASSED
"verifyTextPresent("""", false)",Chrome 130.0.0.0,,,04-11-2024 22:40:46,04-11-2024 22:40:46,0.367s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Threads/svg_Search_icon icon-search""))",Chrome 130.0.0.0,,,04-11-2024 22:40:46,04-11-2024 22:40:47,0.260s,PASSED
"click(findTestObject(""Object Repository/Page_Threads/svg_Search_icon icon-search""))",Chrome 130.0.0.0,,,04-11-2024 22:40:47,04-11-2024 22:40:47,0.282s,PASSED
"takeScreenshot(screenshotFolderPath + ""blank_bar.png"")",Chrome 130.0.0.0,,,04-11-2024 22:40:47,04-11-2024 22:40:48,0.665s,PASSED
"setText(findTestObject(""Object Repository/Page_Threads/input_Contact_q""), invalid_search)",Chrome 130.0.0.0,,,04-11-2024 22:40:48,04-11-2024 22:40:48,0.565s,PASSED
"takeScreenshot(screenshotFolderPath + ""invalid_before.png"")",Chrome 130.0.0.0,,,04-11-2024 22:40:48,04-11-2024 22:40:49,0.732s,PASSED
"click(findTestObject(""Object Repository/Page_Threads/svg_Search_icon icon-search""))",Chrome 130.0.0.0,,,04-11-2024 22:40:49,04-11-2024 22:40:51,1.784s,PASSED
"verifyTextPresent(search_result, false)",Chrome 130.0.0.0,,,04-11-2024 22:40:51,04-11-2024 22:40:52,0.903s,PASSED
"verifyTextPresent(no_result, false)",Chrome 130.0.0.0,,,04-11-2024 22:40:52,04-11-2024 22:40:52,0.268s,PASSED
"takeScreenshot(screenshotFolderPath + ""invalid_after.png"")",Chrome 130.0.0.0,,,04-11-2024 22:40:52,04-11-2024 22:40:52,0.345s,PASSED
"click(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 0 results found for Verify inva_0640af/svg_Contact_icon icon-search""))",Chrome 130.0.0.0,,,04-11-2024 22:40:52,04-11-2024 22:40:52,0.287s,PASSED
"setText(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 0 results found for Verify inva_0640af/input_Contact_q""), search_item)",Chrome 130.0.0.0,,,04-11-2024 22:40:52,04-11-2024 22:40:53,0.912s,PASSED
"takeScreenshot(screenshotFolderPath + ""search_item_before.png"")",Chrome 130.0.0.0,,,04-11-2024 22:40:53,04-11-2024 22:40:54,0.351s,PASSED
delay(3),Chrome 130.0.0.0,,,04-11-2024 22:40:54,04-11-2024 22:40:57,3.012s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 0 results found for Verify inva_0640af/p_DR MARTENS  CAVENDISH 3-EYE SHOE BLACK""), 0)",Chrome 130.0.0.0,,,04-11-2024 22:40:57,04-11-2024 22:40:57,0.283s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 0 results found for Verify inva_0640af/p_DR MARTENS  1461 DMC 3-EYE SHOE  BLACK SMOOTH""), 0)",Chrome 130.0.0.0,,,04-11-2024 22:40:57,04-11-2024 22:40:57,0.280s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 0 results found for Verify inva_0640af/p_DR MARTENS  1460Z DMC 8-EYE BOOT  CHERRY SMOOTH""), 0)",Chrome 130.0.0.0,,,04-11-2024 22:40:57,04-11-2024 22:40:58,0.281s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 0 results found for Verify inva_0640af/p_TIMBERLAND  MENS 6 INCH PREMIUM BOOT""), 0)",Chrome 130.0.0.0,,,04-11-2024 22:40:58,04-11-2024 22:40:58,0.286s,PASSED
"click(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 0 results found for Verify inva_0640af/svg_Search_icon icon-search""))",Chrome 130.0.0.0,,,04-11-2024 22:40:58,04-11-2024 22:40:59,1.179s,PASSED
"takeScreenshot(screenshotFolderPath + ""search_item_after.png"")",Chrome 130.0.0.0,,,04-11-2024 22:40:59,04-11-2024 22:41:00,1.109s,PASSED
"verifyTextPresent(search_result, false)",Chrome 130.0.0.0,,,04-11-2024 22:41:00,04-11-2024 22:41:00,0.350s,PASSED
"scrollToPosition(500, 0)",Chrome 130.0.0.0,,,04-11-2024 22:41:00,04-11-2024 22:41:00,0.013s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 24 results found for Shoe  Threads/a_DR MARTENS  CAVENDISH 3-EYE SHOE BLACK""), 0)",Chrome 130.0.0.0,,,04-11-2024 22:41:00,04-11-2024 22:41:01,0.284s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 24 results found for Shoe  Threads/a_DR MARTENS  1461 DMC 3-EYE SHOE  BLACK SMOOTH""), 0)",Chrome 130.0.0.0,,,04-11-2024 22:41:01,04-11-2024 22:41:01,0.611s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 24 results found for Shoe  Threads/a_ADIDAS  SUPERSTAR 80S""), 0)",Chrome 130.0.0.0,,,04-11-2024 22:41:01,04-11-2024 22:41:02,0.290s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 24 results found for Shoe  Threads/a_NIKE  TODDLER ROSHE ONE""), 0)",Chrome 130.0.0.0,,,04-11-2024 22:41:02,04-11-2024 22:41:02,0.275s,PASSED
"takeScreenshot(screenshotFolderPath + ""search_result.png"")",Chrome 130.0.0.0,,,04-11-2024 22:41:02,04-11-2024 22:41:02,0.377s,PASSED
"click(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 24 results found for Shoe  Threads/span_Home""))",Chrome 130.0.0.0,,,04-11-2024 22:41:02,04-11-2024 22:41:03,0.609s,PASSED
"takeScreenshot(screenshotFolderPath + ""home_final.png"")",Chrome 130.0.0.0,,,04-11-2024 22:41:03,04-11-2024 22:41:04,1.260s,PASSED
closeBrowser(),Chrome 130.0.0.0,,,04-11-2024 22:41:04,04-11-2024 22:41:05,0.627s,PASSED
,,,,,,,
Test Cases/Threads_Webshop/3 Homepage/TC-672-Verify the Social media button,Chrome 130.0.0.0,,,04-11-2024 22:41:05,04-11-2024 22:41:17,12.465s,PASSED
currentDateTime = LocalDateTime.now(),Chrome 130.0.0.0,,,04-11-2024 22:41:05,04-11-2024 22:41:05,0.001s,PASSED
"formatter = DateTimeFormatter.ofPattern(""yyyyMMdd_HHmmss"")",Chrome 130.0.0.0,,,04-11-2024 22:41:05,04-11-2024 22:41:05,0.001s,PASSED
dateTimeString = currentDateTime.format(formatter),Chrome 130.0.0.0,,,04-11-2024 22:41:05,04-11-2024 22:41:05,0.002s,PASSED
"screenshotFolderPath = ""screenshots/home_page_"" + dateTimeString + ""/""",Chrome 130.0.0.0,,,04-11-2024 22:41:05,04-11-2024 22:41:05,0.000s,PASSED
File(screenshotFolderPath).mkdirs(),Chrome 130.0.0.0,,,04-11-2024 22:41:05,04-11-2024 22:41:05,0.002s,PASSED
"callTestCase(findTestCase(""Threads_Webshop/ReUsable Testcases/Enter Password""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,04-11-2024 22:41:05,04-11-2024 22:41:13,8.557s,PASSED
maximizeWindow(),Chrome 130.0.0.0,,,04-11-2024 22:41:13,04-11-2024 22:41:13,0.006s,PASSED
"scrollToPosition(0, 10000)",Chrome 130.0.0.0,,,04-11-2024 22:41:13,04-11-2024 22:41:13,0.016s,PASSED
"takeScreenshot(screenshotFolderPath + ""social_media_icon.png"")",Chrome 130.0.0.0,,,04-11-2024 22:41:13,04-11-2024 22:41:15,1.232s,PASSED
